username,userid,profile_location,created_at,text,retweet_count,source,coordinates
the weaknd,341221840,San Francisco,2023-01-22 18:57:58,"#StopAsianHate how many more mass shootings?

10 dead and it’s not even trending on Twitter. Some Americans barley… https://t.co/FLv0PL6CzC",2,Twitter for iPhone,
Dave Yen,29921871,"San Francisco, CA",2023-01-22 17:38:44,"Cooked a CNY dinner last nt for my fam—93 y/o nainai, cousin who rec’d a new kidney last yr, parents-in-law visitin… https://t.co/tSdPws2oQL",0,Twitter for iPhone,
Diane Le 🌁,35632207,"San Francisco, CA",2023-01-22 17:38:40,Woke up to the news that 10 people were killed during #LunarNewYear festivities in Monterey Park near LA. #LNY is a… https://t.co/Ldvcg0kTkS,1,Twitter for Android,
Big Mom Energy,45745160,"Oakland, CA",2023-01-22 17:38:20,Feeling for the people of Monterey Park and the extended Asian community at large. It’s incredibly angering to know… https://t.co/2RkJDO0zY0,0,Twitter for iPhone,
Annie Pho (she/her),249475029,"San Francisco, CA",2023-01-22 17:15:54,I came on here to wish everyone a happy lunar new year. Not to express horror at yet another mass shooting targetin… https://t.co/lLhtNiMSXB,3,Twitter for iPhone,
Steve Riley☮️,314668690,Near San Francisco California,2023-01-22 16:39:13,"@EllenYChang Agreed.

Horrific, tragic, heartbreaking….
💔💔💔

#StopAsianHate",0,Twitter for iPhone,
Steve Riley☮️,314668690,Near San Francisco California,2023-01-22 16:36:50,"@heyhanawu Horrific.
Tragic.
Terrible.
Senseless.
Heartbreaking.
and
Maddening.
💔💔💔

#StopAsianHate",0,Twitter for iPhone,
Edwin M. Lee Asian Pacific Democratic Club,28719923,"San Francisco, CA",2023-01-22 16:33:17,Our community was the target of another mass shooting last night - an attack on our people on our LNY. We need more… https://t.co/ivjBWdESMT,1,Twitter for iPhone,
Laura Hawkins,28725524,"San Francisco, CA",2023-01-22 16:21:14,"Another mass shooting, this time in a API community as people are celebrating Lunar New Year. #StopAsianHate… https://t.co/n7JlAxIrnU",0,Twitter for iPhone,
Kalimah Priforce,16565733,"Emeryville, CA",2023-01-22 16:17:01,"Thoughts, prayers, and chants for families of this tragic shooting. Ten lives taken and more may come. Still a deve… https://t.co/TR7Ndg0s7U",0,Twitter for Android,
Celery Caraway,1257719485,"San Francisco, CA",2023-01-22 15:58:48,"I was going to happily declare Kung Hei Fat Choi this morning, as I've done on Lunar New Years since I was a child.… https://t.co/qQLxFz7mwY",0,Twitter Web App,
Cherri L. Murphy,3214861733,"Oakland,CA",2023-01-22 15:31:16,"DO NOT NORMALIZE #StopAsianHate.

My heart goes out to love ones and their communities impacted by the Lunar New Ye… https://t.co/XjOz4PHOE9",1,Twitter Web App,
